
1,When you are old what do you think children will ask you to tell stories about?
2,If you could switch two movie characters what switch would lead to the most inappropriate movies?
3,What animal would be cutest if scaled down to the size of a cat?
4,What inanimate object would be the most annoying if it played loud upbeat music while being used?
5,When did something start out badly for you but in the end it was great?
6,What weird food combinations do you really enjoy?
7,How would your country change if everyone regardless of age could vote?
8,What are some red flags to watch out for in daily life?
9,If your job gave you a surprise three day paid break to rest and recuperate what would you do with those three days?
10,Where do you get your news?
11,What movie can you watch over and over without ever getting tired of?
12,What’s wrong but sounds right?
13,What’s the most epic way you’ve seen someone quit or be fired?
14,If you couldn’t be convicted of any one type of crime what criminal charge would you like to be immune to?
15,What social stigma does society need to get over?
16,What’s the most creative use of emojis you’ve ever seen?
17,What’s something that will always be in fashion no matter how much time passes?
18,What actors or actresses play the same character in almost every movie or show they do?
19,In the past people were buried with the items they would need in the afterlife what would you want buried with you so you could use it in the afterlife?
20,What’s the best / worst practical joke that you’ve played on someone or that was played on you?
21,Who do you go out of your way to be nice to?
22,Where do you get most of the decorations for your home?
23,What food have you never eaten but would really like to try?
24,What food is delicious but a pain to eat?
25,Who was your craziest / most interesting teacher?
26,What old person things do you do?
27,What was the last photo you took?
28,What is the most amazing slow motion video you’ve seen?
29,Where are some unusual places you’ve been?
30,Which celebrity do you think is the most down to earth?
31,What would be the worst thing to hear as you are going under anesthesia before heart surgery?
32,What’s the spiciest thing you’ve ever eaten?
33,What’s the most expensive thing you’ve broken?
34,What obstacles would be included in the World’s most amazing obstacle course?
35,What makes you roll your eyes every time you hear it?
36,What do you think you are much better at than you actually are?
37,Should kidneys be able to be bought and sold?
38,When was the last time you got to tell someone ľI told you so.??
39,What would a world populated by clones of you be like?
40,What riddles do you know?
41,What’s your cure for hiccups?
42,What invention doesn’t get a lot of love but has greatly improved the world?
43,What’s something you really resent paying for?
44,Do you think that aliens exist?
45,What are you currently worried about?
46,What’s the most interesting building you’ve ever seen or been in?
47,What mythical creature do you wish actually existed?
48,What are your most important rules when going on a date?
49,How do you judge a person?
50,If someone narrated your life who would you want to be the narrator?
51,What was the most unsettling film you’ve seen?
